
P_APPLY_RIR    = [0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.4, 0.6, 0.8]
P_APPLY_ECHO   = [0.5, 0.5, 0.5, 0.3, 0.7, 0.9, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
P_APPLY_NOISE  = [0.6, 0.8, 1.0, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]
P_PITCH_SHIFT  = [0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.3, 0.4, 0.2, 0.2, 0.2]
P_TIME_STRETCH = [0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.3, 0.5, 0.7, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]


timestamp	set_id	seed	cm00	cm01	cm10	cm11
2026-03-02 19:23:45.207207	0	1	0.6613	0.3387	0.1710	0.8290
2026-03-02 20:56:59.343173	0	2	0.8380	0.1620	0.1938	0.8062
2026-03-02 22:33:17.683479	0	3	0.7695	0.2305	0.2229	0.7771
2026-03-03 00:10:31.919361	0	4	0.7008	0.2992	0.2370	0.7630
2026-03-03 01:47:40.588566	0	5	0.7051	0.2949	0.1498	0.8502
2026-03-03 03:28:09.497028	0	6	0.7166	0.2834	0.2337	0.7663
2026-03-03 05:07:14.972923	1	1	0.6892	0.3108	0.1182	0.8818
2026-03-03 06:46:49.045690	1	2	0.7276	0.2724	0.1952	0.8048
2026-03-03 08:27:16.415034	1	3	0.6803	0.3197	0.1965	0.8035
2026-03-03 10:09:12.960846	1	4	0.7303	0.2697	0.2482	0.7518
2026-03-03 11:51:28.960556	1	5	0.7632	0.2368	0.2728	0.7272
2026-03-03 13:35:29.939430	1	6	0.8430	0.1570	0.3088	0.6912
2026-03-03 15:18:16.353803	2	1	0.7672	0.2328	0.1794	0.8206
2026-03-03 17:01:39.545809	2	2	0.7476	0.2524	0.1993	0.8007
2026-03-03 18:44:00.527497	2	3	0.6357	0.3643	0.1745	0.8255
2026-03-03 20:26:54.753730	2	4	0.7055	0.2945	0.2772	0.7228
2026-03-03 22:11:24.265732	2	5	0.6703	0.3297	0.2223	0.7777
2026-03-03 23:55:32.141472	2	6	0.7210	0.2790	0.2049	0.7951
2026-03-04 01:43:38.577599	3	1	0.8062	0.1938	0.2018	0.7982
2026-03-04 03:30:44.495192	3	2	0.7308	0.2692	0.3745	0.6255
2026-03-04 05:20:03.493290	3	3	0.7180	0.2820	0.2587	0.7413
2026-03-04 07:09:56.340838	3	4	0.7948	0.2052	0.2116	0.7884
2026-03-04 09:00:20.351489	3	5	0.7422	0.2578	0.4006	0.5994
2026-03-04 10:48:51.780437	3	6	0.7522	0.2478	0.1959	0.8041
2026-03-04 12:31:47.522084	4	1	0.7279	0.2721	0.3400	0.6600
2026-03-04 14:18:00.997155	4	2	0.7325	0.2675	0.2977	0.7023
2026-03-04 16:02:05.845029	4	3	0.8329	0.1671	0.2338	0.7662
2026-03-04 17:48:41.351348	4	4	0.6806	0.3194	0.1716	0.8284
2026-03-04 19:33:43.559968	4	5	0.7148	0.2852	0.2623	0.7377
2026-03-04 21:18:39.178787	4	6	0.7604	0.2396	0.1831	0.8169
2026-03-04 22:53:25.174393	5	1	0.7529	0.2471	0.2568	0.7432
2026-03-05 00:29:24.896098	5	2	0.6342	0.3658	0.1652	0.8348
2026-03-05 02:04:01.729131	5	3	0.6454	0.3546	0.1979	0.8021
2026-03-05 03:40:33.835039	5	4	0.7583	0.2417	0.1615	0.8385
2026-03-05 05:17:33.941503	5	5	0.6441	0.3559	0.2707	0.7293
2026-03-05 06:54:30.980597	5	6	0.7719	0.2281	0.1968	0.8032
2026-03-05 08:43:00.615203	6	1	0.7973	0.2027	0.2441	0.7559
2026-03-05 10:31:48.570971	6	2	0.7487	0.2513	0.2869	0.7131
2026-03-05 12:21:49.038982	6	3	0.7234	0.2766	0.2074	0.7926
2026-03-05 14:13:57.691787	6	4	0.7529	0.2471	0.2715	0.7285
2026-03-05 16:04:58.076177	6	5	0.7499	0.2501	0.3350	0.6650
