timestamp	set_id	seed	cm00	cm01	cm10	cm11
2026-03-10 09:16:23.122214	0	1	0.4739	0.5261	0.0259	0.9741
2026-03-10 10:09:45.604074	0	2	0.5490	0.4510	0.0451	0.9549
2026-03-10 11:05:29.062043	0	3	0.5518	0.4482	0.0404	0.9596
2026-03-10 12:00:48.833570	0	4	0.4921	0.5079	0.0594	0.9406
2026-03-10 12:58:18.980768	0	5	0.4367	0.5633	0.0478	0.9522
2026-03-10 13:57:11.528404	0	6	0.4559	0.5441	0.0422	0.9578
2026-03-10 15:00:37.556418	1	1	0.6383	0.3617	0.0384	0.9616
2026-03-10 16:04:13.361582	1	2	0.6015	0.3985	0.0657	0.9343
2026-03-10 17:10:18.335684	1	3	0.5078	0.4922	0.0587	0.9413
2026-03-10 18:15:12.684905	1	4	0.4922	0.5078	0.0850	0.9150
2026-03-10 19:19:49.747646	1	5	0.6675	0.3325	0.0903	0.9097
2026-03-10 20:25:24.595985	1	6	0.5179	0.4821	0.0532	0.9468
2026-03-10 21:35:38.892238	2	1	0.5163	0.4837	0.0524	0.9476
2026-03-10 22:47:24.643655	2	2	0.5479	0.4521	0.0620	0.9380
2026-03-10 23:59:17.909964	2	3	0.6390	0.3610	0.0535	0.9465
2026-03-11 01:10:59.283100	2	4	0.5906	0.4094	0.0509	0.9491
2026-03-11 02:23:41.562711	2	5	0.5460	0.4540	0.0615	0.9385
2026-03-11 03:36:09.632778	2	6	0.6077	0.3923	0.0945	0.9055
2026-03-11 04:54:11.659629	3	1	0.6038	0.3962	0.0555	0.9445
2026-03-11 06:12:14.967891	3	2	0.6584	0.3416	0.0581	0.9419
2026-03-11 07:31:07.717834	3	3	0.5413	0.4587	0.0572	0.9428
2026-03-11 08:51:19.447357	3	4	0.6324	0.3676	0.0771	0.9229
2026-03-11 10:11:37.628070	3	5	0.5550	0.4450	0.0700	0.9300
2026-03-11 11:32:05.547743	3	6	0.4750	0.5250	0.0805	0.9195
2026-03-11 12:58:51.582834	4	1	0.6315	0.3685	0.0572	0.9428
2026-03-11 14:26:14.259217	4	2	0.5905	0.4095	0.1003	0.8997
2026-03-11 15:54:40.874459	4	3	0.5151	0.4849	0.0447	0.9553
2026-03-11 17:23:09.293501	4	4	0.5882	0.4118	0.0606	0.9394
2026-03-11 18:51:44.989581	4	5	0.6434	0.3566	0.0834	0.9166
2026-03-11 20:20:13.183981	4	6	0.7562	0.2438	0.0763	0.9237
2026-03-11 21:50:54.676633	5	1	0.5127	0.4873	0.0309	0.9691
2026-03-11 23:21:04.620662	5	2	0.5274	0.4726	0.0658	0.9342
2026-03-12 00:52:04.754571	5	3	0.4898	0.5102	0.0482	0.9518
2026-03-12 02:18:58.607868	5	4	0.4417	0.5583	0.0429	0.9571
2026-03-12 03:47:41.445203	5	5	0.5205	0.4795	0.0439	0.9561
2026-03-12 05:13:37.902649	5	6	0.5325	0.4675	0.0412	0.9588
2026-03-12 06:42:28.691555	6	1	0.5373	0.4627	0.0369	0.9631
2026-03-12 08:12:46.275442	6	2	0.6127	0.3873	0.0496	0.9504
2026-03-12 09:42:43.907613	6	3	0.4568	0.5432	0.0337	0.9663
2026-03-12 11:11:06.599806	6	4	0.5135	0.4865	0.0718	0.9282
2026-03-12 12:42:51.491514	6	5	0.4971	0.5029	0.0394	0.9606
2026-03-12 14:15:39.865195	6	6	0.5637	0.4363	0.0613	0.9387
2026-03-12 15:42:38.602692	7	1	0.4075	0.5925	0.0320	0.9680
2026-03-12 17:10:37.063332	7	2	0.6369	0.3631	0.0314	0.9686
2026-03-12 18:40:54.397697	7	3	0.4465	0.5535	0.0338	0.9662
2026-03-12 20:10:05.716125	7	4	0.5369	0.4631	0.0272	0.9728
2026-03-12 21:38:55.922638	7	5	0.5364	0.4636	0.0358	0.9642
2026-03-12 23:08:18.181709	7	6	0.5265	0.4735	0.0497	0.9503
2026-03-13 00:31:34.183050	8	1	0.6375	0.3625	0.0394	0.9606
2026-03-13 01:54:56.714712	8	2	0.5521	0.4479	0.0443	0.9557
2026-03-13 03:19:33.514197	8	3	0.4574	0.5426	0.0383	0.9617
2026-03-13 04:44:25.081132	8	4	0.5623	0.4377	0.0851	0.9149
2026-03-13 06:09:04.728252	8	5	0.5570	0.4430	0.0380	0.9620
2026-03-13 07:34:05.622725	8	6	0.4813	0.5187	0.0573	0.9427
2026-03-13 08:45:47.050844	9	1	0.5885	0.4115	0.0583	0.9417
2026-03-13 09:58:03.322314	9	2	0.7230	0.2770	0.1179	0.8821
2026-03-13 11:10:42.657067	9	3	0.5198	0.4802	0.1144	0.8856
2026-03-13 12:23:49.538801	9	4	0.6953	0.3047	0.1098	0.8902
2026-03-13 13:37:06.449068	9	5	0.5617	0.4383	0.0820	0.9180
2026-03-13 14:50:43.278785	9	6	0.6782	0.3218	0.1240	0.8760
2026-03-13 16:03:30.100007	10	1	0.6522	0.3478	0.2184	0.7816
2026-03-13 17:16:35.967250	10	2	0.7377	0.2623	0.1431	0.8569
2026-03-13 18:28:16.113969	10	3	0.7010	0.2990	0.1307	0.8693
2026-03-13 19:40:40.475444	10	4	0.7142	0.2858	0.1233	0.8767
2026-03-13 20:53:10.485723	10	5	0.6381	0.3619	0.1230	0.8770
2026-03-13 22:06:00.774089	10	6	0.6550	0.3450	0.1259	0.8741
2026-03-13 23:19:06.770354	11	1	0.7146	0.2854	0.1759	0.8241
2026-03-14 00:33:21.466616	11	2	0.7738	0.2262	0.1976	0.8024
2026-03-14 01:48:27.164475	11	3	0.7026	0.2974	0.1846	0.8154
2026-03-14 03:03:07.798291	11	4	0.7178	0.2822	0.1354	0.8646
